A05.360.319.114.630.535.Ovarian.Follicle	A05.360.319.114.630.535	Ovarian Follicle	Urogenital System	Genitalia
A05.360.319.679.Uterus	A05.360.319.679	Uterus	Urogenital System	Genitalia
A05.360.319.679.256.Cervix.Uteri	A05.360.319.679.256	Cervix Uteri	Urogenital System	Genitalia
A05.360.319.679.490.Endometrium	A05.360.319.679.490	Endometrium	Urogenital System	Genitalia
A05.360.319.679.690.Myometrium	A05.360.319.679.690	Myometrium	Urogenital System	Genitalia
A05.360.319.887.Vulva	A05.360.319.887	Vulva	Urogenital System	Genitalia
A05.360.444.Genitalia..Male	A05.360.444	Genitalia  Male	Urogenital System	Genitalia
A05.360.444.492.Penis	A05.360.444.492	Penis	Urogenital System	Genitalia
A05.360.444.492.362.Foreskin	A05.360.444.492.362	Foreskin	Urogenital System	Genitalia
A05.360.490.Germ.Cells	A05.360.490	Germ Cells	Urogenital System	Genitalia
A05.360.490.690.Ovum	A05.360.490.690	Ovum	Urogenital System	Genitalia
A05.810.Urinary.Tract	A05.810	Urinary Tract	Urogenital System	Urinary Tract
A05.810.453.Kidney	A05.810.453	Kidney	Urogenital System	Urinary Tract
A05.810.453.324.Kidney.Cortex	A05.810.453.324	Kidney Cortex	Urogenital System	Urinary Tract
A05.810.890.Urinary.Bladder	A05.810.890	Urinary Bladder	Urogenital System	Urinary Tract
A06.407.Endocrine.Glands	A06.407	Endocrine Glands	Endocrine System	Endocrine Glands
A06.407.071.Adrenal.Glands	A06.407.071	Adrenal Glands	Endocrine System	Endocrine Glands
A06.407.071.140.Adrenal.Cortex	A06.407.071.140	Adrenal Cortex	Endocrine System	Endocrine Glands
A06.407.312.Gonads	A06.407.312	Gonads	Endocrine System	Endocrine Glands
A06.407.312.497.535.300.500.Cumulus.Cells	A06.407.312.497.535.300.500	Cumulus Cells	Endocrine System	Endocrine Glands
A06.407.312.782.Testis	A06.407.312.782	Testis	Endocrine System	Endocrine Glands
A06.407.900.Thyroid.Gland	A06.407.900	Thyroid Gland	Endocrine System	Endocrine Glands
A07.231.Blood.Vessels	A07.231	Blood Vessels	Cardiovascular System	Blood Vessels
A07.231.114.Arteries	A07.231.114	Arteries	Cardiovascular System	Blood Vessels
A07.231.908.Veins	A07.231.908	Veins	Cardiovascular System	Blood Vessels
A07.231.908.670.Portal.System	A07.231.908.670	Portal System	Cardiovascular System	Blood Vessels
A07.231.908.670.874.Umbilical.Veins	A07.231.908.670.874	Umbilical Veins	Cardiovascular System	Blood Vessels
A07.541.Heart	A07.541	Heart	Cardiovascular System	Heart
A07.541.358.Heart.Atria	A07.541.358	Heart Atria	Cardiovascular System	Heart
A07.541.358.100.Atrial.Appendage	A07.541.358.100	Atrial Appendage	Cardiovascular System	Heart
A07.541.510.Heart.Valves	A07.541.510	Heart Valves	Cardiovascular System	Heart
A07.541.510.110.Aortic.Valve	A07.541.510.110	Aortic Valve	Cardiovascular System	Heart
A07.541.560.Heart.Ventricles	A07.541.560	Heart Ventricles	Cardiovascular System	Heart
A08.186.Central.Nervous.System	A08.186	Central Nervous System	Nervous System	Central Nervous System
A08.186.211.Brain	A08.186.211	Brain	Nervous System	Central Nervous System
A08.186.211.132.Brain.Stem	A08.186.211.132	Brain Stem	Nervous System	Central Nervous System
A08.186.211.132.810.428.200.Cerebellum	A08.186.211.132.810.428.200	Cerebellum	Nervous System	Central Nervous System
A08.186.211.464.Limbic.System	A08.186.211.464	Limbic System	Nervous System	Central Nervous System
A08.186.211.464.405.Hippocampus	A08.186.211.464.405	Hippocampus	Nervous System	Central Nervous System
A08.186.211.464.710.Parahippocampal.Gyrus	A08.186.211.464.710	Parahippocampal Gyrus	Nervous System	Central Nervous System
